,MUV-548,mol_id,smiles
0,0.0,CID2999679,Cn1ccnc1SCC(=O)Nc1ccc(Oc2ccccc2)cc1
1,0.0,CID5390002,O=C1/C(=C/NC2CCS(=O)(=O)C2)c2ccccc2C(=O)N1c1ccccc1
2,0.0,CID2999674,CCCc1cc(=O)nc(SCC(=O)N(CC(C)C)C2CCS(=O)(=O)C2)[nH]1
3,0.0,CID2999675,CCn1cnc2c1c(=O)n(CC(=O)Nc1cc(C)on1)c(=O)n2Cc1ccccc1
5,0.0,CID581177,CN(C)C1(c2nnnn2-c2ccc(Cl)cc2)CCCCC1
6,0.0,CID1157494,Cc1c(C(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)oc2ccccc12
7,0.0,CID649462,Cc1cc(N2CCOCC2)n2nc(-c3cccc(F)c3)cc2n1
8,0.0,CID649460,COc1cc(C)nc(NS(=O)(=O)c2ccc(C)cc2)n1
9,0.0,CID649469,Cc1ccc(Nc2nc(C(=O)NCc3ccco3)cs2)cc1
10,0.0,CID5390004,CCc1cc2c(CN3CCN(CCO)CC3)cc(=O)oc2cc1O
11,0.0,CID2971550,O=C(Cc1cccs1)N1CCN(C(=O)C2CCCO2)CC1
12,0.0,CID2268406,Cc1ccc(S(=O)(=O)NC(=O)Nn2c(C)nnc2C)cc1
13,0.0,CID3240399,Cn1cnnc1SCC(=O)OCN1C(=O)c2ccccc2C1=O
15,0.0,CID650801,CC1(C)CN=C(N2CCN(C3=NCC(C)(C)S3)CC2)S1
16,0.0,CID648339,CCCOc1ccc(C(=O)NCc2cccnc2)cc1
17,0.0,CID5309827,CC1=C(C(=O)Nc2cc(-c3cccc(F)c3)[nH]n2)C2(CCCCC2)OC1=O
18,0.0,CID5309826,CCOC(=O)N1CCC(NC(=O)CSCc2nc(-c3sccc3C)oc2C)CC1
19,0.0,CID5309828,Cc1cccc2sc(NC(=O)Cn3cccc3)nc12
21,0.0,CID665712,O=C(NCCc1ccccc1F)C1CSC2c3ccccc3C(=O)N12
22,0.0,CID665713,COc1ccc(OCc2nn3c(-c4ccccn4)nnc3s2)cc1
23,0.0,CID665715,Cc1cc(-c2nnc3sc(C4CCCCC4)nn23)n[nH]1
24,0.0,CID663710,COCCCNc1nc2ccccc2nc1NS(=O)(=O)c1cccs1
25,0.0,CID663717,CCOCCCn1cnc2c(c1=O)c1nc3ccccc3nc1n2-c1ccc(C)cc1
27,0.0,CID2057828,CCCCOc1ccc(-c2ncc(C(=O)OCC)c(N)n2)cc1
29,0.0,CID2084566,c1ccc(-c2nnc(CSc3nnc(-c4cccs4)o3)o2)cc1
31,0.0,CID3238736,Clc1cccc2sc(N3CCCC3)nc12
32,0.0,CID891903,O=C(CNS(=O)(=O)c1ccccc1)NCc1ccccn1
33,0.0,CID666671,NC(Cc1ccccc1)c1nnc2sc(SCc3ccccc3)nn12
34,0.0,CID666675,CC(=O)N(Cc1cccnc1)Cc1cc2ccc(C)cc2[nH]c1=O
35,0.0,CID666676,COc1ccccc1-c1nn2c(C(F)(F)F)nnc2s1
36,0.0,CID666678,CCCc1nc2oc3c(NCCN4CCOCC4)ncnc3c2c2c1CCCC2
37,0.0,CID715325,Fc1cccc(Cl)c1-c1nnc2ccc(N3CCOCC3)nn12
38,0.0,CID649209,COc1cc(NC(=O)CSc2nccc(C)n2)c(C(=O)O)cc1OC
39,0.0,CID2213751,CCn1c(COc2ccc3c(c2)CCCC3)nnc1SCC(=O)Nc1nccs1
41,0.0,CID3000118,CCOC(=O)C1(Nc2nccs2)Sc2ccccc2NC1=O
42,0.0,CID3000113,CCC1(c2cccc(Cl)c2)NC(=O)N(Cc2cc(C(=O)OC)c(C)o2)C1=O
44,0.0,CID3000117,CC(C)n1nc(C(=O)OCC(=O)N(C)C2CCS(=O)(=O)C2)c2ccccc2c1=O
45,0.0,CID3000116,CCC(C)NC(=O)CSc1nnc(-c2ccc(C(C)(C)C)cc2)n1C
46,0.0,CID77808,N#CCCN1CCN(CCC#N)CC1
48,0.0,CID714050,O=C(Nc1ccc2oc(-c3ccncc3)nc2c1)c1cccs1
49,0.0,CID627918,Nc1nonc1NC(=O)CSc1nc2ccccc2s1
50,0.0,CID706004,CCOC(=O)c1nn(-c2c(C)n(C)n(-c3ccccc3)c2=O)cc1O
51,0.0,CID1523652,Cc1ccc(C)n1CCN1CCN(C(=O)c2ccco2)CC1
53,0.0,CID3240989,O=C(NCc1ccco1)Nc1cccs1
54,0.0,CID3240983,Cn1c(=O)cc(OCCCC(=O)N2CCN(Cc3ccc4c(c3)OCO4)CC2)c2ccccc21
55,0.0,CID3240980,Cc1ccc(S(=O)(=O)Cc2ccc(C(=O)N3CCN(c4cc(C)ccc4C)CC3)o2)cc1
56,0.0,CID3240985,Cc1sc2ncn(CC(=O)NCc3ccccn3)c(=O)c2c1S(=O)(=O)N1CCOCC1
58,0.0,CID759661,Cc1nc2ccccc2c(=O)n1/N=C/c1ccccn1
59,0.0,CID4188760,O=C(c1cnc2sccn2c1=O)N1CCCc2ccccc21
60,0.0,CID3236987,O=C(O)c1ccc2c(c1)ncn2C1CCCCCC1
61,0.0,CID645193,CCc1nc(SCC(=O)Nc2cc(C)on2)c2c(C)c(C)sc2n1
62,0.0,CID645191,Cc1sc(NC(=O)CSc2nnc(-c3ccccc3)o2)c(C#N)c1C
63,0.0,CID645199,CCOC(=O)c1snc(C(=O)NC2CCCCC2)c1N
64,0.0,CID3830,c1coc(CNc2ncnc3nc[nH]c23)c1
65,0.0,CID652237,COCCNC(=O)C(c1ccc(C)cc1)N(C(=O)CCC(=O)Nc1ccccn1)C1CCCC1
67,0.0,CID2096770,Cc1cc(C)n2nc(C(=O)Nc3ccccc3N3CCOCC3)nc2n1
68,0.0,CID2537704,COc1ccc(CCNc2nnc(Sc3nnnn3-c3ccccc3)s2)cc1OC
70,0.0,CID658924,Cn1c(O)cc(=O)nc1SCC(=O)Nc1cccc2ccccc12
71,0.0,CID658926,COC(=O)c1c(C)noc1-c1cc(C)on1
72,0.0,CID2193152,N#CCCSCc1ccc(C(=O)O)o1
73,0.0,CID3241295,CCN(CC)S(=O)(=O)c1ccc(C(=O)NCc2n[nH]c(=S)n2Cc2ccccc2)cc1
76,0.0,CID3236362,O=C(CS(=O)(=O)c1c[nH]c2ccccc12)N1CCCCC1
77,0.0,CID3236361,COc1ccccc1N(C(C)=O)C1SC(=O)N(c2ccccc2)C1=O
78,0.0,CID3236366,CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C34CC5CC(CC(C5)C3)C4)CC2)cc1
79,0.0,CID3236368,CCOC(=O)CNC(=O)Cn1cnc2c(nnn2-c2ccc(C)cc2)c1=O
80,0.0,CID2999302,CC1CCN(C(=O)CCc2nc3cc(S(=O)(=O)N(C)C)ccc3n2C)CC1
82,0.0,CID647135,COc1ccc(N(Cc2cc3ccc(C)cc3[nH]c2=O)C(C)=O)cc1
83,0.0,CID2202985,Cc1nnc(SCC(=O)N2CCc3ccccc32)n1-c1ccccc1
84,0.0,CID655836,CCC(C)Nc1nc2c(c(=O)n(C)c(=O)n2C)n1Cc1ccc(F)cc1
87,0.0,CID2998654,O=C(NCCc1ccccn1)C1CC(=O)N(Cc2ccccc2Cl)C1
88,0.0,CID3241835,COc1ccc(OC)c(C2=NOC(C(=O)NCC3CCCO3)C2)c1
89,0.0,CID2998659,O=C(COC(=O)C12CC3CC(CC(C3)C1)C2)NCc1ccco1
90,0.0,CID5001940,CN(CC(CC(=O)Nc1nncs1)c1ccccc1)S(=O)(=O)c1ccccc1
91,0.0,CID3243473,O=C(NCCN1CCOCC1)c1ccc2c(c1)ncn2C1CCCCC1
93,0.0,CID1091859,Cn1c(=O)n(C)c2cc(C(=O)Nc3ccc4c(c3)OCO4)ccc21
94,0.0,CID1091853,COc1ccc(-n2nc3ccc(NS(C)(=O)=O)cc3n2)cc1Cl
95,0.0,CID1080538,Cc1ccc2nsnc2c1S(=O)(=O)NCc1ccc2c(c1)OCO2
97,0.0,CID646264,Cc1cnc(C(=O)Nc2ccc(N3CCOCC3)cc2)cn1
99,0.0,CID646269,COc1ccccc1Nc1nc(N)nc(CSc2nc(C)cc(C)n2)n1
101,0.0,CID831798,O=C(Nc1ccccc1)N1CCSCC1
102,0.0,CID784811,Cc1ccc(-c2noc(-c3cccs3)n2)cc1
103,0.0,CID1293242,O=C(CSc1nnnn1-c1ccccc1)c1cc2ccccc2oc1=O
104,0.0,CID683719,CSc1nc(N)nc(SCC(=O)c2ccccc2)c1C#N
105,0.0,CID663084,Cc1ccc(CSc2nnc(-c3ccco3)n2N)cc1
106,0.0,CID663085,Cn1c(=O)c2c(nc(N3CCCCC3)n2CCSc2nc3ccccc3s2)n(C)c1=O
107,0.0,CID2155193,Cc1ccc(-n2c(SCC(=O)NC3CCCCC3)nc3c(c2=O)SCC3)cc1
108,0.0,CID653297,CCn1nc(-c2cccs2)nc2c(=O)n(C)c(=O)nc1-2
109,0.0,CID653293,Cc1nc(NCCO)c2nnn(Cc3ccccc3F)c2n1
110,0.0,CID941892,COc1ccccc1Nc1nc(N)nc(CN2CCCCCC2)n1
111,0.0,CID5309592,CN1CCN(c2ccccc2NC(=O)C(Cc2ccccc2)n2cccc2)CC1
112,0.0,CID5309590,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2cccc(F)c2)cc1
114,0.0,CID5308640,O=C1Nc2ccccc2OC1CC(=O)N1CCCC1
116,0.0,CID5308644,COc1ccc(Nc2cc(C)nc3nc(C)nn23)cc1Cl
117,0.0,CID5308647,Cn1c(Cn2c(=O)sc3ccccc32)nnc1SCC(=O)Nc1ccccc1F
118,0.0,CID1315980,COc1cccc(NC(=O)CSc2nnc(COc3ccc4c(c3)CCCC4)o2)c1
119,0.0,CID5310299,O=C(Cn1cnc2c(cnn2-c2ccc(F)cc2)c1=O)NCCc1ccccc1
120,0.0,CID1142615,COc1cccc(C(=O)Nc2cccc(-c3nc4ncccc4o3)c2C)c1
121,0.0,CID2160412,COc1ccc(-n2nc3c(c2NC(=O)c2c(F)cccc2Cl)CS(=O)C3)cc1
122,0.0,CID654904,CCCn1c(SCC(=O)Nc2ccccc2C(=O)OC)nc2c1c(=O)n(C)c(=O)n2C
123,0.0,CID2940581,Cc1ccc(OCC(=O)n2cnnc2N)c(C)c1
124,0.0,CID2191928,CC(=O)Nc1nnc(SCc2cccc(F)c2)s1
125,0.0,CID652507,CCc1nc(N)c(C#N)c(-c2ccc(OC)c(OC)c2)c1C
127,0.0,CID4657558,Cc1ccnc(SCCn2c(N3CCC(C)CC3)nc3c2c(=O)[nH]c(=O)n3C)n1
128,0.0,CID4347383,Cc1ccc2cc(CCNC(=O)C3CCCC3)c(=O)[nH]c2c1
131,0.0,CID665037,CCCN(Cc1cc2ccc(C)cc2[nH]c1=O)C(=O)c1ccccn1
133,0.0,CID2196,COc1ccc(C(=O)N2CCCC2=O)cc1
135,0.0,CID1261330,Cc1cc(NC(=O)c2cc(-c3ccncc3)nc3c(C)cccc23)no1
137,0.0,CID664343,COc1ccccc1C1=NOC(Cn2c(=O)c3c(ncn3C)n(C)c2=O)C1
138,0.0,CID664340,CCc1ccc2oc(=O)cc(CN3CCOCC3)c2c1
140,0.0,CID2217251,CCCCOc1c(Cl)cc(CNC(C)(C)CO)cc1OCC
141,0.0,CID791507,CC(=O)Nc1cccc(NC(=O)CCCC(=O)O)c1
142,0.0,CID2908174,N#CCCCSC1=C(C#N)C(c2ccccc2Cl)CC(=O)N1
143,0.0,CID661837,CCOC(=O)C1=C(C)N=C2SC(C)C(=O)N2C1c1ccc(OC(C)=O)c(OC)c1
144,0.0,CID661834,N#Cc1ccc(-c2ccco2)nc1SCC(=O)c1ccc(Cl)cc1
147,1.0,CID661830,COCCCNc1nc(-c2ccncc2)nc2ccccc12
148,0.0,CID913828,COc1nc(C)ccc1-c1noc(-c2ccncc2)n1
149,0.0,CID666686,C=CCn1c(Cc2cccs2)nnc1SCC(=O)Nc1cccc(OC)c1
150,0.0,CID2517425,Cc1cccc(-c2nnc(SCC(=O)Nc3ccnn3C(C)C)n2C)c1
152,0.0,CID2989582,COCCSc1nc2c(c(=O)[nH]c(=O)n2C)n1CCC(C)C
153,0.0,CID3244464,O=C(Cc1ccc(-n2cccc2)cc1)NCc1cccs1
154,0.0,CID3244460,CCOCCCNC(=O)C1CCC(CNS(=O)(=O)c2cccc3nsnc23)CC1
155,0.0,CID3244463,O=C(c1noc2c1CCCC2)N1CCN(c2ccccc2)CC1
156,0.0,CID3245336,Cc1cccc(-n2nc3c(c2NC(=O)c2ccco2)CSC3)c1C
160,0.0,CID667067,CN1CCN(Cc2nc3c([nH]2)c(=O)[nH]c(=O)n3C)CC1
162,0.0,CID2058861,Cc1ccccc1OCCCN1CCCC1
163,0.0,CID2124166,CCN(C(=O)CSc1nncs1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
164,0.0,CID662583,c1csc(-c2nn3c(C4CCCCC4)nnc3s2)c1
165,0.0,CID662580,C/C(NC1CCCC1)=C(/C#N)C(N)=O
166,0.0,CID662588,Cc1ccc(-c2nnc3c4ccccc4c(C)nn23)cc1NC(=O)c1ccco1
167,0.0,CID662589,COc1ccc(-c2nnc(SCc3ccccc3)n2N)cc1
168,0.0,CID3457781,COC(=O)c1ccccc1NC(=O)Nc1nnc(N2CCCCC2C)s1
169,0.0,CID665254,COc1ccc2[nH]c(=O)c(CN(C(=O)c3ccccn3)c3ccccc3)cc2c1
171,0.0,CID309850,O=c1[nH]cc(COCc2ccccc2)c(=O)[nH]1
172,0.0,CID661053,NC(=O)c1ccc(-n2nnnc2SCc2ccc(F)cc2)cc1
174,0.0,CID3000091,CC(CCc1ccccc1)NC(=O)CSc1nc(N)cc(N)n1
175,0.0,CID3000099,COc1ccc(C(CNC(=O)Cc2cc(OC)c(OC)c(OC)c2)N2CCCC2)cc1
176,0.0,CID5389102,C/C(Nc1cccc(O)c1)=C1/Sc2ccccc2C1=O
177,0.0,CID2221235,CS(=O)(=O)N1CCN(C(=O)c2cc(-c3ccncc3)nc3ccc(Cl)cc23)CC1
178,0.0,CID1266350,O=c1cc(-c2ccccc2)nc2nc(COc3ccccc3)[nH]n12
180,0.0,CID658227,Cc1cc(C)c(NC(=O)OCCN2CCOCC2)c(C)c1
